"nct_id","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_update_posted_date","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","completion_date","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","overall_status","last_known_status","phase","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry"
"NCT00567528",NA,"2007-12-03",NA,NA,"2015-01-13","2007-12-03","2007-12-05","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-01-13","2015-01-14","ESTIMATED","2006-05",NA,"2006-05-31","2012-01","2012-01-31","2009-04","ACTUAL","2009-04-30","2009-04","ACTUAL","2009-04-30",NA,"INTERVENTIONAL",NA,NA,"Comparison of the Efficacy of Topical Ibuprofen to Oral Ibuprofen in Adolescent Athletes","Comparison of the Efficacy of Topical Ibuprofen to Oral Ibuprofen in Adolescent Athletes","TERMINATED",NA,"NA",60,"ACTUAL","Akron Children's Hospital",NA,2,NA,"Study was not producing meaningful data.","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,NA
"NCT03071614",NA,"2017-02-13",NA,NA,"2021-02-09","2017-03-01","2017-03-07","ACTUAL",NA,NA,NA,NA,NA,NA,"2021-02-09","2021-02-12","ACTUAL","2019-06","ESTIMATED","2019-06-30","2021-02","2021-02-28","2019-12","ESTIMATED","2019-12-31","2019-12","ESTIMATED","2019-12-31",NA,"INTERVENTIONAL",NA,NA,"Interpretation of Health News Items Reporting Results of Pre-clinical Studies With or Without Spin By English-speaking Population","Interpretation of Health News Items Reporting Results of Pre-clinical Studies With or Without Spin: A Randomized Controlled Trial Among English-speaking Population","WITHDRAWN",NA,"NA",0,"ACTUAL","Assistance Publique - Hôpitaux de Paris",NA,2,NA,"Lack of funds","f",NA,NA,NA,"f","f","f",NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT02121405",NA,"2014-04-21",NA,NA,"2022-05-05","2014-04-22","2014-04-23","ESTIMATED",NA,NA,NA,NA,NA,NA,"2022-05-05","2022-05-11","ACTUAL","2015-10","ACTUAL","2015-10-31","2022-05","2022-05-31","2026-02","ESTIMATED","2026-02-28","2024-02","ESTIMATED","2024-02-29",NA,"INTERVENTIONAL","PSSR",NA,"Randomized Trial of Primary Surgery Followed Selective Radiochemotherapy for Rectal Cancer With MRI Negative CRM","Randomized Trial of Primary Surgery Followed Selective Radiochemotherapy Versus Conventional Preoperative Radiochemotherapy for Locally Advanced Rectal Cancer With MRI Negative Circumferential Margin","SUSPENDED",NA,"PHASE3",350,"ESTIMATED","Zhejiang University",NA,2,NA,"DSMB stopped this trial due to the difference of 3-year DFS's rate between two groups more than 5% at the interim analysis in July 2021.","f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,NA
"NCT01693276",NA,"2012-09-19",NA,NA,"2015-10-23","2012-09-21","2012-09-26","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-10-23","2015-10-26","ESTIMATED","2012-09",NA,"2012-09-30","2015-10","2015-10-31","2014-06","ACTUAL","2014-06-30","2014-06","ACTUAL","2014-06-30",NA,"INTERVENTIONAL",NA,NA,"Gemcitabine/Abraxane Chemotherapy and Dose Escalated Radiotherapy for Locally Advanced, Unresectable Pancreatic Cancer","Gemcitabine/Abraxane Chemotherapy and Dose Escalated Radiotherapy for Locally Advanced, Unresectable Pancreatic Cancer","TERMINATED",NA,"PHASE1/PHASE2",3,"ACTUAL","University of Cincinnati",NA,1,NA,"Slow accrual","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,NA
"NCT02115737",NA,"2014-04-14",NA,NA,"2015-11-16","2014-04-14","2014-04-16","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-11-16","2015-11-17","ESTIMATED","2013-12",NA,"2013-12-31","2015-11","2015-11-30","2014-11","ACTUAL","2014-11-30","2014-11","ACTUAL","2014-11-30",NA,"INTERVENTIONAL",NA,NA,"Group Treatment for Adolescents With Depression","Group Treatment for Adolescents With Depression","TERMINATED",NA,"NA",11,"ACTUAL","Sunnybrook Health Sciences Centre",NA,2,NA,"Insufficient recruitment","f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,NA
"NCT02483377",NA,"2015-06-24",NA,NA,"2017-04-18","2015-06-25","2015-06-26","ESTIMATED",NA,NA,NA,NA,NA,NA,"2017-04-18","2017-04-20","ACTUAL","2015-03-05","ACTUAL","2015-03-05","2017-04","2017-04-30","2017-02-07","ACTUAL","2017-02-07","2017-02-07","ACTUAL","2017-02-07",NA,"OBSERVATIONAL",NA,NA,"Patient Navigation and Tailored Treatment Planning in Latina Patients With Breast Cancer","Breast Cancer Patient Navigation and Tailored Treatment Planning: A Process Evaluation Study for LAC+USC Patient Navigation, Treatment Planning, and Ongoing Support for Latina Women","TERMINATED",NA,NA,13,"ACTUAL","University of Southern California",NA,NA,1,"Principal Investigator left","f",NA,NA,NA,"t","f","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT03436706",NA,"2018-02-10",NA,NA,"2018-04-26","2018-02-10","2018-02-19","ACTUAL",NA,NA,NA,NA,NA,NA,"2018-04-26","2018-04-30","ACTUAL","2019-01","ESTIMATED","2019-01-31","2018-04","2018-04-30","2024-12","ESTIMATED","2024-12-31","2024-12","ESTIMATED","2024-12-31",NA,"OBSERVATIONAL",NA,NA,"Pre-adolescent Stress and Health Study","Pre-adolescent Stress and Health Study","WITHDRAWN",NA,NA,0,"ACTUAL","Penn State University",NA,NA,1,"This study does not qualify as a clinical trial under current NIH guidelines.","f",NA,NA,NA,"f","f","f",NA,NA,NA,NA,NA,NA,NA,NA,"UNDECIDED",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,"f"
"NCT03606980",NA,"2018-06-29","2024-01-04",NA,"2024-02-07","2018-07-23","2018-07-31","ACTUAL","2024-02-07","2024-03-06","ACTUAL",NA,NA,NA,"2024-02-07","2024-03-06","ACTUAL","2018-11-05","ACTUAL","2018-11-05","2024-02","2024-02-29","2023-03-01","ACTUAL","2023-03-01","2021-12-22","ACTUAL","2021-12-22",NA,"INTERVENTIONAL",NA,NA,"Iontophoresis With Dexamethasone and Physical Therapy to Treat Apophysitis of the Knee in Pediatrics","Iontophoresis With Dexamethasone in Combination With Physical Therapy for the Treatment of Pediatric Patients Diagnosed With Apophysitis of the Knee: A Randomized, Double-Blind, Placebo-Controlled Trial","TERMINATED",NA,"PHASE2",45,"ACTUAL","Children's Health System, Inc.","Our study was limited by limited enrollment, primarily as a result of the COVID-19 pandemic. Slow enrollment following the pandemic led to early closure of the study.",3,NA,"Slow enrollment","f",NA,NA,NA,"f","t","f",NA,NA,"t",NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT04766476",NA,"2021-02-19",NA,NA,"2022-06-08","2021-02-22","2021-02-23","ACTUAL",NA,NA,NA,NA,NA,NA,"2022-06-08","2022-06-09","ACTUAL","2021-02-24","ACTUAL","2021-02-24","2022-06","2022-06-30","2021-08-12","ACTUAL","2021-08-12","2021-08-12","ACTUAL","2021-08-12",NA,"INTERVENTIONAL",NA,NA,"A Study to Evaluate the Safety, Tolerability, and Drug Levels of BMS-963272 in Participants With Nonalcoholic Fatty Liver Disease","A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 1b Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of BMS-963272 in Participants With Nonalcoholic Fatty Liver Disease","TERMINATED",NA,"PHASE1",9,"ACTUAL","Bristol-Myers Squibb",NA,3,NA,"Business objectives have changed","f",NA,NA,NA,"f","t","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT01235793",NA,"2010-11-05","2018-07-25",NA,"2018-10-23","2010-11-05","2010-11-08","ESTIMATED","2018-10-23","2018-11-20","ACTUAL",NA,NA,NA,"2018-10-23","2018-11-20","ACTUAL","2010-10-14","ACTUAL","2010-10-14","2018-10","2018-10-31","2018-04-18","ACTUAL","2018-04-18","2017-07-28","ACTUAL","2017-07-28",NA,"INTERVENTIONAL","DRBEAT",NA,"The Addition of Temozolomide to Conditioning for Autologous Transplantation in Relapsed & Refractory CNS Lymphoma","A Phase 2a Study of the Addition of Temozolomide to a Standard Conditioning Regimen for Autologous Stem Cell Transplantation in Relapsed and Refractory Central Nervous System (CNS) Lymphoma","TERMINATED",NA,"PHASE2",11,"ACTUAL","Cedars-Sinai Medical Center","Enrollment in the clinical trial did not reach the target number of subjects needed to achieve target power and is insufficient to produce statistically reliable results. Clinical trial terminated due to poor enrollment but the outcomes are measured.",1,NA,"The clinical trial was terminated due to poor enrollment","f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT01438151",NA,"2011-09-20","2014-01-06",NA,"2014-03-04","2011-09-20","2011-09-21","ESTIMATED","2014-03-04","2014-04-09","ESTIMATED",NA,NA,NA,"2014-03-04","2014-04-09","ESTIMATED","2011-12",NA,"2011-12-31","2014-03","2014-03-31","2013-12","ACTUAL","2013-12-31","2013-12","ACTUAL","2013-12-31",NA,"INTERVENTIONAL",NA,NA,"Understanding the Relationship Between Infliximab Levels to Clinical Response of Remicade in Crohn's Disease","Association of Serum Infliximab and Antibodies Toward Infliximab (ATI) to Clinical Outcomes in Crohn's Disease","TERMINATED",NA,"NA",11,"ACTUAL","Icahn School of Medicine at Mount Sinai","Study was terminated without completion due to poor enrollment.",1,NA,"terminated due to poor enrollment","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT05161533",NA,"2021-12-01",NA,NA,"2023-10-16","2021-12-15","2021-12-17","ACTUAL",NA,NA,NA,NA,NA,NA,"2023-10-16","2023-10-18","ACTUAL","2023-10-19","ESTIMATED","2023-10-19","2023-04","2023-04-30","2024-12-31","ESTIMATED","2024-12-31","2024-10-01","ESTIMATED","2024-10-01",NA,"INTERVENTIONAL",NA,NA,"Hypofractionated Radiation Therapy After Durvalumab and Chemotherapy for the Treatment of Stage IV Extensive Stage Small Cell Lung Cancer, CASPIAN-RT Trial","CASPIAN-RT Trial: Hypofractionated Consolidative Radiation Therapy After Durvalumab (MEDI4736) Plus Platinum-Based Chemotherapy in Extensive Stage Small Cell Lung Cancer","WITHDRAWN",NA,"PHASE2",0,"ACTUAL","University of Washington",NA,1,NA,"Closed per SRC Low Accrual Policy. Study closed prior to any participants enrolled.","f",NA,NA,NA,"t","t","f",NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT01710683",NA,"2012-10-17",NA,NA,"2015-05-27","2012-10-17","2012-10-19","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-05-27","2015-05-28","ESTIMATED",NA,NA,NA,"2015-05","2015-05-31",NA,NA,NA,NA,NA,NA,NA,"OBSERVATIONAL",NA,NA,"Early Mobilisation Following Discectomy","Early Mobilisation Following Discectomy","WITHDRAWN",NA,NA,0,"ACTUAL","Northern Orthopaedic Division, Denmark",NA,NA,2,"No participants were enrolled.","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT02461680",NA,"2015-05-27",NA,NA,"2019-08-19","2015-06-02","2015-06-03","ESTIMATED",NA,NA,NA,NA,NA,NA,"2019-08-19","2019-08-21","ACTUAL","2016-02","ACTUAL","2016-02-29","2019-08","2019-08-31","2019-02","ACTUAL","2019-02-28","2019-02","ACTUAL","2019-02-28",NA,"INTERVENTIONAL","FLEXOR",NA,"Treatment for Partial Lesions of the Fingers Flexor Tendons : Tangential Resection or Direct Suture","Management Of The Partial Lesions Of The Fingers Flexor Tendons, Prospective Randomized Trial Of 2 Surgical Procedures: Tangential Resection Versus Direct Suture","TERMINATED",NA,"NA",3,"ACTUAL","University Hospital, Strasbourg, France",NA,2,NA,"recruitment difficulty","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 12:12:25.886051","2024-09-15 12:12:25.886051","OTHER",NA,NA,NA,NA,NA,NA
